time,"I(LQ|XSSA1)"
1.707800e-09,2.214125e-06
1.708000e-09,2.202278e-06
1.708200e-09,2.189672e-06
1.708400e-09,2.177399e-06
1.708600e-09,2.166555e-06
1.708800e-09,2.158125e-06
1.709000e-09,2.152876e-06
1.709200e-09,2.151257e-06
1.709400e-09,2.153342e-06
1.709600e-09,2.158803e-06
1.709800e-09,2.166933e-06
1.710000e-09,2.176718e-06
1.710200e-09,2.186944e-06
1.710400e-09,2.196337e-06
1.710600e-09,2.203708e-06
1.710800e-09,2.208093e-06
1.711000e-09,2.208867e-06
1.711200e-09,2.205813e-06
1.711400e-09,2.199141e-06
1.711600e-09,2.189461e-06
1.711800e-09,2.177696e-06
1.712000e-09,2.164974e-06
1.712200e-09,2.152486e-06
1.712400e-09,2.141346e-06
1.712600e-09,2.132474e-06
1.712800e-09,2.126489e-06
1.713000e-09,2.123663e-06
1.713200e-09,2.123901e-06
1.713400e-09,2.126775e-06
1.713600e-09,2.131589e-06
1.713800e-09,2.137475e-06
1.714000e-09,2.143498e-06
1.714200e-09,2.148762e-06
1.714400e-09,2.152511e-06
1.714600e-09,2.154193e-06
1.714800e-09,2.153513e-06
1.715000e-09,2.150434e-06
1.715200e-09,2.145169e-06
1.715400e-09,2.138128e-06
1.715600e-09,2.129858e-06
1.715800e-09,2.120974e-06
1.716000e-09,2.112084e-06
1.716200e-09,2.103731e-06
1.716400e-09,2.096341e-06
1.716600e-09,2.090194e-06
1.716800e-09,2.085418e-06
1.717000e-09,2.081992e-06
1.717200e-09,2.079771e-06
1.717400e-09,2.078517e-06
1.717600e-09,2.077935e-06
1.717800e-09,2.077709e-06
1.718000e-09,2.077529e-06
1.718200e-09,2.077120e-06
1.718400e-09,2.076249e-06
1.718600e-09,2.074741e-06
1.718800e-09,2.072473e-06
1.719000e-09,2.069371e-06
1.719200e-09,2.065411e-06
1.719400e-09,2.060604e-06
1.719600e-09,2.055002e-06
1.719800e-09,2.048687e-06
1.720000e-09,2.041775e-06
1.720200e-09,2.034412e-06
1.720400e-09,2.026768e-06
1.720600e-09,2.019035e-06
1.720800e-09,2.011415e-06
1.721000e-09,2.004103e-06
1.721200e-09,1.997274e-06
1.721400e-09,1.991065e-06
1.721600e-09,1.985554e-06
1.721800e-09,1.980755e-06
1.722000e-09,1.976604e-06
1.722200e-09,1.972966e-06
1.722400e-09,1.969642e-06
1.722600e-09,1.966386e-06
1.722800e-09,1.962931e-06
1.723000e-09,1.959013e-06
1.723200e-09,1.954399e-06
1.723400e-09,1.948910e-06
1.723600e-09,1.942439e-06
