time,"I(LQ|XBFR1)"
6.880000e-11,-2.116601e-06
6.900000e-11,-2.135472e-06
6.920000e-11,-2.145659e-06
6.940000e-11,-2.146090e-06
6.960000e-11,-2.137215e-06
6.980000e-11,-2.120850e-06
7.000000e-11,-2.099826e-06
7.020000e-11,-2.077509e-06
7.040000e-11,-2.057266e-06
7.060000e-11,-2.041969e-06
7.080000e-11,-2.033602e-06
7.100000e-11,-2.033016e-06
7.120000e-11,-2.039878e-06
7.140000e-11,-2.052787e-06
7.160000e-11,-2.069542e-06
7.180000e-11,-2.087506e-06
7.200000e-11,-2.104018e-06
7.220000e-11,-2.116770e-06
7.240000e-11,-2.124121e-06
7.260000e-11,-2.125292e-06
7.280000e-11,-2.120428e-06
7.300000e-11,-2.110526e-06
7.320000e-11,-2.097247e-06
7.340000e-11,-2.082647e-06
7.360000e-11,-2.068868e-06
7.380000e-11,-2.057832e-06
7.400000e-11,-2.050983e-06
7.420000e-11,-2.049107e-06
7.440000e-11,-2.052258e-06
7.460000e-11,-2.059777e-06
7.480000e-11,-2.070419e-06
7.500000e-11,-2.082549e-06
7.520000e-11,-2.094386e-06
7.540000e-11,-2.104259e-06
7.560000e-11,-2.110833e-06
7.580000e-11,-2.113290e-06
7.600000e-11,-2.111418e-06
7.620000e-11,-2.105630e-06
7.640000e-11,-2.096882e-06
7.660000e-11,-2.086522e-06
7.680000e-11,-2.076090e-06
7.700000e-11,-2.067092e-06
7.720000e-11,-2.060786e-06
7.740000e-11,-2.058007e-06
7.760000e-11,-2.059060e-06
7.780000e-11,-2.063684e-06
7.800000e-11,-2.071108e-06
7.820000e-11,-2.080169e-06
7.840000e-11,-2.089495e-06
7.860000e-11,-2.097710e-06
7.880000e-11,-2.103631e-06
7.900000e-11,-2.106446e-06
7.920000e-11,-2.105821e-06
7.940000e-11,-2.101941e-06
7.960000e-11,-2.095469e-06
7.980000e-11,-2.087439e-06
8.000000e-11,-2.079090e-06
8.020000e-11,-2.071680e-06
8.040000e-11,-2.066291e-06
8.060000e-11,-2.063674e-06
8.080000e-11,-2.064143e-06
8.100000e-11,-2.067538e-06
8.120000e-11,-2.073262e-06
8.140000e-11,-2.080383e-06
8.160000e-11,-2.087783e-06
8.180000e-11,-2.094337e-06
8.200000e-11,-2.099081e-06
8.220000e-11,-2.101356e-06
8.240000e-11,-2.100897e-06
8.260000e-11,-2.097865e-06
8.280000e-11,-2.092806e-06
8.300000e-11,-2.086556e-06
8.320000e-11,-2.080103e-06
8.340000e-11,-2.074433e-06
8.360000e-11,-2.070378e-06
8.380000e-11,-2.068492e-06
8.400000e-11,-2.068981e-06
8.420000e-11,-2.071680e-06
8.440000e-11,-2.076096e-06
8.460000e-11,-2.081493e-06
8.480000e-11,-2.087015e-06
8.500000e-11,-2.091822e-06
8.520000e-11,-2.095216e-06
8.540000e-11,-2.096742e-06
8.560000e-11,-2.096249e-06
8.580000e-11,-2.093896e-06
8.600000e-11,-2.090118e-06
8.620000e-11,-2.085544e-06
8.640000e-11,-2.080899e-06
8.660000e-11,-2.076882e-06
8.680000e-11,-2.074068e-06
8.700000e-11,-2.072826e-06
8.720000e-11,-2.073270e-06
8.740000e-11,-2.075256e-06
8.760000e-11,-2.078418e-06
8.780000e-11,-2.082228e-06
8.800000e-11,-2.086090e-06
8.820000e-11,-2.089427e-06
8.840000e-11,-2.091769e-06
8.860000e-11,-2.092815e-06
8.880000e-11,-2.092471e-06
8.900000e-11,-2.090853e-06
8.920000e-11,-2.088262e-06
8.940000e-11,-2.085125e-06
8.960000e-11,-2.081928e-06
8.980000e-11,-2.079146e-06
9.000000e-11,-2.077165e-06
9.020000e-11,-2.076239e-06
9.040000e-11,-2.076454e-06
9.060000e-11,-2.077725e-06
9.080000e-11,-2.079818e-06
9.100000e-11,-2.082391e-06
9.120000e-11,-2.085046e-06
9.140000e-11,-2.087394e-06
9.160000e-11,-2.089109e-06
9.180000e-11,-2.089968e-06
9.200000e-11,-2.089885e-06
9.220000e-11,-2.088914e-06
9.240000e-11,-2.087232e-06
9.260000e-11,-2.085114e-06
9.280000e-11,-2.082884e-06
9.300000e-11,-2.080869e-06
9.320000e-11,-2.079353e-06
9.340000e-11,-2.078534e-06
9.360000e-11,-2.078504e-06
9.380000e-11,-2.079235e-06
9.400000e-11,-2.080593e-06
9.420000e-11,-2.082358e-06
9.440000e-11,-2.084258e-06
9.460000e-11,-2.086013e-06
9.480000e-11,-2.087373e-06
9.500000e-11,-2.088156e-06
9.520000e-11,-2.088267e-06
9.540000e-11,-2.087714e-06
9.560000e-11,-2.086601e-06
9.580000e-11,-2.085109e-06
9.600000e-11,-2.083468e-06
9.620000e-11,-2.081924e-06
9.640000e-11,-2.080699e-06
9.660000e-11,-2.079962e-06
9.680000e-11,-2.079805e-06
9.700000e-11,-2.080233e-06
9.720000e-11,-2.081163e-06
9.740000e-11,-2.082443e-06
9.760000e-11,-2.083873e-06
9.780000e-11,-2.085236e-06
9.800000e-11,-2.086333e-06
9.820000e-11,-2.087011e-06
9.840000e-11,-2.087182e-06
9.860000e-11,-2.086837e-06
9.880000e-11,-2.086045e-06
9.900000e-11,-2.084937e-06
9.920000e-11,-2.083689e-06
9.940000e-11,-2.082491e-06
9.960000e-11,-2.081520e-06
9.980000e-11,-2.080913e-06
1.000000e-10,-2.080750e-06
1.002000e-10,-2.085199e-06
1.004000e-10,-2.092915e-06
1.006000e-10,-2.105127e-06
1.008000e-10,-2.122778e-06
1.010000e-10,-2.146021e-06
1.012000e-10,-2.174205e-06
1.014000e-10,-2.205983e-06
1.016000e-10,-2.239516e-06
1.018000e-10,-2.272746e-06
1.020000e-10,-2.303688e-06
1.022000e-10,-2.330715e-06
1.024000e-10,-2.352783e-06
1.026000e-10,-2.369583e-06
1.028000e-10,-2.381575e-06
1.030000e-10,-2.389916e-06
1.032000e-10,-2.396280e-06
1.034000e-10,-2.402592e-06
1.036000e-10,-2.410736e-06
1.038000e-10,-2.422265e-06
1.040000e-10,-2.438168e-06
1.042000e-10,-2.458729e-06
1.044000e-10,-2.483498e-06
1.046000e-10,-2.511374e-06
1.048000e-10,-2.540795e-06
1.050000e-10,-2.569984e-06
1.052000e-10,-2.597231e-06
1.054000e-10,-2.621155e-06
1.056000e-10,-2.640915e-06
1.058000e-10,-2.656321e-06
1.060000e-10,-2.667848e-06
1.062000e-10,-2.676547e-06
1.064000e-10,-2.683859e-06
1.066000e-10,-2.691380e-06
1.068000e-10,-2.700606e-06
1.070000e-10,-2.712700e-06
1.072000e-10,-2.728324e-06
1.074000e-10,-2.747547e-06
1.076000e-10,-2.769865e-06
1.078000e-10,-2.794293e-06
1.080000e-10,-2.819543e-06
1.082000e-10,-2.844239e-06
1.084000e-10,-2.867130e-06
1.086000e-10,-2.887285e-06
1.088000e-10,-2.904223e-06
1.090000e-10,-2.917962e-06
1.092000e-10,-2.928998e-06
1.094000e-10,-2.938203e-06
1.096000e-10,-2.946674e-06
1.098000e-10,-2.955551e-06
1.100000e-10,-2.965843e-06
1.102000e-10,-2.978281e-06
1.104000e-10,-2.993218e-06
1.106000e-10,-3.010597e-06
1.108000e-10,-3.029982e-06
1.110000e-10,-3.050637e-06
1.112000e-10,-3.071656e-06
1.114000e-10,-3.092108e-06
1.116000e-10,-3.111173e-06
1.118000e-10,-3.128264e-06
1.120000e-10,-3.143100e-06
1.122000e-10,-3.155730e-06
1.124000e-10,-3.166517e-06
1.126000e-10,-3.176060e-06
1.128000e-10,-3.185103e-06
1.130000e-10,-3.194414e-06
1.132000e-10,-3.204671e-06
1.134000e-10,-3.216372e-06
1.136000e-10,-3.229762e-06
1.138000e-10,-3.244813e-06
1.140000e-10,-3.261237e-06
1.142000e-10,-3.278536e-06
1.144000e-10,-3.296086e-06
1.146000e-10,-3.313229e-06
1.148000e-10,-3.329378e-06
1.150000e-10,-3.344093e-06
1.152000e-10,-3.357150e-06
1.154000e-10,-3.368562e-06
1.156000e-10,-3.378569e-06
1.158000e-10,-3.387601e-06
1.160000e-10,-3.396199e-06
1.162000e-10,-3.404940e-06
1.164000e-10,-3.414339e-06
1.166000e-10,-3.424782e-06
1.168000e-10,-3.436465e-06
1.170000e-10,-3.449373e-06
1.172000e-10,-3.463289e-06
1.174000e-10,-3.477828e-06
1.176000e-10,-3.492510e-06
1.178000e-10,-3.506825e-06
1.180000e-10,-3.520323e-06
1.182000e-10,-3.532674e-06
1.184000e-10,-3.543716e-06
1.186000e-10,-3.553479e-06
1.188000e-10,-3.562167e-06
1.190000e-10,-3.570126e-06
1.192000e-10,-3.577781e-06
1.194000e-10,-3.585572e-06
1.196000e-10,-3.593883e-06
1.198000e-10,-3.602983e-06
1.200000e-10,-3.612993e-06
1.202000e-10,-3.623871e-06
1.204000e-10,-3.635425e-06
1.206000e-10,-3.647349e-06
1.208000e-10,-3.659273e-06
1.210000e-10,-3.670825e-06
1.212000e-10,-3.681687e-06
1.214000e-10,-3.691641e-06
1.216000e-10,-3.700599e-06
1.218000e-10,-3.708610e-06
1.220000e-10,-3.715846e-06
1.222000e-10,-3.722571e-06
1.224000e-10,-3.729099e-06
1.226000e-10,-3.735738e-06
1.228000e-10,-3.742749e-06
1.230000e-10,-3.750308e-06
1.232000e-10,-3.758481e-06
1.234000e-10,-3.767221e-06
1.236000e-10,-3.776378e-06
1.238000e-10,-3.785730e-06
1.240000e-10,-3.795015e-06
1.242000e-10,-3.803976e-06
1.244000e-10,-3.812397e-06
1.246000e-10,-3.820133e-06
1.248000e-10,-3.827131e-06
1.250000e-10,-3.833432e-06
1.252000e-10,-3.839162e-06
1.254000e-10,-3.844508e-06
1.256000e-10,-3.849690e-06
1.258000e-10,-3.854926e-06
1.260000e-10,-3.860399e-06
1.262000e-10,-3.866231e-06
1.264000e-10,-3.872469e-06
1.266000e-10,-3.879079e-06
1.268000e-10,-3.885956e-06
1.270000e-10,-3.892941e-06
1.272000e-10,-3.899847e-06
1.274000e-10,-3.906490e-06
1.276000e-10,-3.912713e-06
