time,"V(B11|XBFR1)","V(B21|XBFR1)","I(B11|XBFR1)","I(B21|XBFR1)"
2.340000e-11,4.718083e-05,3.193076e-05,-5.403013e-05,4.370705e-05
2.360000e-11,-1.515095e-05,2.624039e-06,-5.406610e-05,4.328326e-05
2.380000e-11,-6.807384e-05,-2.987284e-05,-5.223953e-05,4.240468e-05
2.400000e-11,-1.009177e-04,-6.355846e-05,-4.945879e-05,4.177028e-05
2.420000e-11,-1.107807e-04,-9.241470e-05,-4.679134e-05,4.206884e-05
2.440000e-11,-1.014155e-04,-1.082176e-04,-4.497762e-05,4.355743e-05
2.460000e-11,-7.975921e-05,-1.042479e-04,-4.418770e-05,4.589137e-05
2.480000e-11,-5.230861e-05,-7.894299e-05,-4.410336e-05,4.828286e-05
2.500000e-11,-2.307624e-05,-3.739509e-05,-4.423047e-05,4.988470e-05
2.520000e-11,6.313731e-06,1.023318e-05,-4.423920e-05,5.018353e-05
2.540000e-11,3.501788e-05,5.251760e-05,-4.414299e-05,4.920114e-05
2.560000e-11,6.114804e-05,8.077890e-05,-4.423963e-05,4.742371e-05
2.580000e-11,8.096950e-05,9.140269e-05,-4.487648e-05,4.552730e-05
2.600000e-11,8.970757e-05,8.575113e-05,-4.619185e-05,4.406236e-05
2.620000e-11,8.360722e-05,6.826364e-05,-4.798268e-05,4.325724e-05
2.640000e-11,6.211516e-05,4.406388e-05,-4.976717e-05,4.301664e-05
2.660000e-11,2.889298e-05,1.728537e-05,-5.099887e-05,4.307880e-05
2.680000e-11,-9.005142e-06,-9.341420e-06,-5.131009e-05,4.321842e-05
2.700000e-11,-4.341331e-05,-3.387386e-05,-5.065811e-05,4.337615e-05
2.720000e-11,-6.764752e-05,-5.424587e-05,-4.931174e-05,4.365502e-05
2.740000e-11,-7.823047e-05,-6.783195e-05,-4.770510e-05,4.420699e-05
2.760000e-11,-7.518070e-05,-7.187886e-05,-4.624833e-05,4.509192e-05
2.780000e-11,-6.109140e-05,-6.462064e-05,-4.519175e-05,4.619711e-05
2.800000e-11,-3.972153e-05,-4.643074e-05,-4.459542e-05,4.726180e-05
2.820000e-11,-1.483519e-05,-2.028949e-05,-4.439251e-05,4.798737e-05
2.840000e-11,1.032641e-05,8.788374e-06,-4.448816e-05,4.816833e-05
2.860000e-11,3.300470e-05,3.514591e-05,-4.482939e-05,4.777428e-05
2.880000e-11,5.068228e-05,5.405841e-05,-4.541154e-05,4.694714e-05
2.900000e-11,6.104365e-05,6.282753e-05,-4.623129e-05,4.592626e-05
2.920000e-11,6.233070e-05,6.105916e-05,-4.722815e-05,4.494883e-05
2.940000e-11,5.396449e-05,5.022416e-05,-4.825881e-05,4.417704e-05
2.980000e-11,1.450714e-05,1.200730e-05,-4.963789e-05,4.345587e-05
3.000000e-11,-9.651511e-06,-9.470545e-06,-4.969147e-05,4.348614e-05
3.020000e-11,-3.113512e-05,-2.877198e-05,-4.929415e-05,4.375182e-05
3.040000e-11,-4.646150e-05,-4.337970e-05,-4.855883e-05,4.423572e-05
3.060000e-11,-5.360400e-05,-5.123878e-05,-4.765425e-05,4.489754e-05
3.080000e-11,-5.215318e-05,-5.112260e-05,-4.674889e-05,4.565295e-05
3.100000e-11,-4.306305e-05,-4.302472e-05,-4.597330e-05,4.637617e-05
3.120000e-11,-2.821094e-05,-2.834719e-05,-4.541108e-05,4.693006e-05
3.140000e-11,-9.987507e-06,-9.713714e-06,-4.511028e-05,4.720949e-05
3.160000e-11,8.988476e-06,9.586712e-06,-4.509698e-05,4.717531e-05
3.180000e-11,2.607223e-05,2.633715e-05,-4.537688e-05,4.686189e-05
3.200000e-11,3.882029e-05,3.804631e-05,-4.592328e-05,4.635674e-05
3.220000e-11,4.531534e-05,4.331935e-05,-4.666300e-05,4.576549e-05
3.240000e-11,4.455237e-05,4.189965e-05,-4.747540e-05,4.518130e-05
3.260000e-11,3.674316e-05,3.447885e-05,-4.821322e-05,4.467184e-05
3.280000e-11,2.337020e-05,2.243004e-05,-4.874005e-05,4.428404e-05
3.300000e-11,6.904717e-06,7.579613e-06,-4.896874e-05,4.405584e-05
3.320000e-11,-9.746368e-06,-7.961114e-06,-4.888315e-05,4.402117e-05
3.340000e-11,-2.387620e-05,-2.196338e-05,-4.853401e-05,4.420149e-05
3.360000e-11,-3.348373e-05,-3.232400e-05,-4.801335e-05,4.458804e-05
