time,"I(LOUT)","I(LIN|XOUT)","I(LA|XAND)","I(LB|XAND)","I(LC|XAND)"
2.000000e-11,-3.103416e-06,1.461650e-05,5.309357e-06,3.997787e-06,5.309357e-06
2.020000e-11,-3.240455e-06,1.400049e-05,4.609039e-06,4.782416e-06,4.609039e-06
2.040000e-11,-2.538324e-06,1.101503e-05,3.102625e-06,4.809775e-06,3.102625e-06
2.060000e-11,-1.224307e-06,6.229879e-06,1.040500e-06,4.148879e-06,1.040500e-06
2.080000e-11,3.588222e-07,5.147770e-07,-1.242431e-06,2.999639e-06,-1.242431e-06
2.100000e-11,1.822980e-06,-5.128351e-06,-3.386113e-06,1.643874e-06,-3.386113e-06
2.120000e-11,2.811334e-06,-9.751319e-06,-5.068639e-06,3.859599e-07,-5.068639e-06
2.140000e-11,3.073875e-06,-1.262653e-05,-6.059231e-06,-5.080691e-07,-6.059231e-06
2.160000e-11,2.523670e-06,-1.336193e-05,-6.249297e-06,-8.633327e-07,-6.249297e-06
2.180000e-11,1.255119e-06,-1.194502e-05,-5.658389e-06,-6.282410e-07,-5.658389e-06
2.200000e-11,-4.802157e-07,-8.718477e-06,-4.420267e-06,1.220573e-07,-4.420267e-06
2.220000e-11,-2.329155e-06,-4.304394e-06,-2.756735e-06,1.209076e-06,-2.756735e-06
2.240000e-11,-3.907722e-06,5.060546e-07,-9.430875e-07,2.392230e-06,-9.430875e-07
2.260000e-11,-4.874596e-06,4.886712e-06,7.344326e-07,3.417847e-06,7.344326e-07
2.280000e-11,-4.997280e-06,8.120168e-06,2.025959e-06,4.068250e-06,2.025959e-06
2.300000e-11,-4.200260e-06,9.725253e-06,2.760463e-06,4.204327e-06,2.760463e-06
2.320000e-11,-2.584493e-06,9.537209e-06,2.871666e-06,3.793876e-06,2.871666e-06
2.340000e-11,-4.121208e-07,7.720440e-06,2.401078e-06,2.918285e-06,2.401078e-06
2.360000e-11,1.941790e-06,4.714766e-06,1.480158e-06,1.754450e-06,1.480158e-06
2.380000e-11,4.060428e-06,1.134256e-06,2.991224e-07,5.360107e-07,2.991224e-07
2.400000e-11,5.563491e-06,-2.354726e-06,-9.293867e-07,-4.959524e-07,-9.293867e-07
2.420000e-11,6.175711e-06,-5.152249e-06,-2.005751e-06,-1.140748e-06,-2.005751e-06
2.440000e-11,5.773531e-06,-6.823287e-06,-2.774151e-06,-1.274985e-06,-2.774151e-06
2.460000e-11,4.405117e-06,-7.164317e-06,-3.145425e-06,-8.734670e-07,-3.145425e-06
2.480000e-11,2.283661e-06,-6.228796e-06,-3.108302e-06,-1.219195e-08,-3.108302e-06
2.500000e-11,-2.457298e-07,-4.304675e-06,-2.725747e-06,1.146819e-06,-2.725747e-06
2.520000e-11,-2.764624e-06,-1.844555e-06,-2.115929e-06,2.387303e-06,-2.115929e-06
2.540000e-11,-4.857453e-06,6.367383e-07,-1.422460e-06,3.481658e-06,-1.422460e-06
2.560000e-11,-6.187527e-06,2.669364e-06,-7.829001e-07,4.235164e-06,-7.829001e-07
2.580000e-11,-6.553144e-06,3.912761e-06,-3.041724e-07,4.521106e-06,-3.041724e-07
2.600000e-11,-5.913776e-06,4.203268e-06,-4.855102e-08,4.300370e-06,-4.855102e-08
2.620000e-11,-4.388658e-06,3.566664e-06,-2.889659e-08,3.624457e-06,-2.889659e-08
2.640000e-11,-2.234679e-06,2.202257e-06,-2.107460e-07,2.623749e-06,-2.107460e-07
2.660000e-11,1.937194e-07,4.406840e-07,-5.211991e-07,1.483082e-06,-5.211991e-07
2.680000e-11,2.502917e-06,-1.324291e-06,-8.657380e-07,4.071850e-07,-8.657380e-07
2.700000e-11,4.330090e-06,-2.720297e-06,-1.150971e-06,-4.183557e-07,-1.150971e-06
2.720000e-11,5.407544e-06,-3.474848e-06,-1.306659e-06,-8.615300e-07,-1.306659e-06
2.740000e-11,5.603466e-06,-3.465047e-06,-1.299838e-06,-8.653702e-07,-1.299838e-06
2.760000e-11,4.932513e-06,-2.729481e-06,-1.138230e-06,-4.530209e-07,-1.138230e-06
2.780000e-11,3.542006e-06,-1.448444e-06,-8.650952e-07,2.817469e-07,-8.650952e-07
2.800000e-11,1.682602e-06,9.643627e-08,-5.490596e-07,1.194555e-06,-5.490596e-07
2.820000e-11,-3.326862e-07,1.576414e-06,-2.705364e-07,2.117487e-06,-2.705364e-07
2.840000e-11,-2.180173e-06,2.679647e-06,-1.051244e-07,2.889896e-06,-1.051244e-07
2.860000e-11,-3.581546e-06,3.175401e-06,-1.062234e-07,3.387848e-06,-1.062234e-07
2.880000e-11,-4.350626e-06,2.961875e-06,-2.917911e-07,3.545457e-06,-2.917911e-07
2.900000e-11,-4.418223e-06,2.083469e-06,-6.397678e-07,3.363005e-06,-6.397678e-07
2.920000e-11,-3.831949e-06,7.150913e-07,-1.093037e-06,2.901166e-06,-1.093037e-06
2.940000e-11,-2.736940e-06,-8.776308e-07,-1.571180e-06,2.264729e-06,-1.571180e-06
2.980000e-11,1.003581e-07,-3.534322e-06,-2.254158e-06,9.739934e-07,-2.254158e-06
3.000000e-11,1.368691e-06,-4.090595e-06,-2.318447e-06,5.462993e-07,-2.318447e-06
3.020000e-11,2.277267e-06,-3.950024e-06,-2.153856e-06,3.576870e-07,-2.153856e-06
3.040000e-11,2.721171e-06,-3.135303e-06,-1.776882e-06,4.184610e-07,-1.776882e-06
3.060000e-11,2.683589e-06,-1.794888e-06,-1.242882e-06,6.908766e-07,-1.242882e-06
3.080000e-11,2.228616e-06,-1.716642e-07,-6.361156e-07,1.100567e-06,-6.361156e-07
3.100000e-11,1.481016e-06,1.444904e-06,-5.462531e-08,1.554155e-06,-5.462531e-08
3.120000e-11,5.990122e-07,2.772015e-06,4.066093e-07,1.958796e-06,4.066093e-07
3.140000e-11,-2.552256e-07,3.582792e-06,6.714389e-07,2.239914e-06,6.714389e-07
3.160000e-11,-9.436120e-07,3.744584e-06,6.951716e-07,2.354241e-06,6.951716e-07
3.180000e-11,-1.374306e-06,3.240487e-06,4.722138e-07,2.296059e-06,4.722138e-07
3.200000e-11,-1.513602e-06,2.169895e-06,3.715005e-08,2.095595e-06,3.715005e-08
3.220000e-11,-1.385351e-06,7.275631e-07,-5.412913e-07,1.810146e-06,-5.412913e-07
3.240000e-11,-1.059267e-06,-8.343136e-07,-1.172289e-06,1.510264e-06,-1.172289e-06
3.260000e-11,-6.320423e-07,-2.252631e-06,-1.758458e-06,1.264286e-06,-1.758458e-06
3.280000e-11,-2.058217e-07,-3.299100e-06,-2.211779e-06,1.124458e-06,-2.211779e-06
