time,"I(LIN|XBFR1)","I(LQ|XBFR1)","I(LIN|XBFR2)","I(LQ|XBFR2)","I(LIN|XBFR3)","I(LQ|XBFR3)","I(LIN|XBFR4)","I(LQ|XBFR4)"
1.180000e-11,-5.061379e-06,2.824379e-05,9.489575e-07,4.050590e-05,5.132711e-06,4.567304e-05,9.083295e-06,4.894367e-05
1.200000e-11,-5.074415e-06,3.212984e-05,2.716220e-06,3.880557e-05,5.088599e-06,4.077671e-05,6.946387e-06,5.225243e-05
1.220000e-11,-5.079594e-06,3.602960e-05,4.333757e-06,3.783935e-05,5.152339e-06,3.711132e-05,5.321342e-06,5.491622e-05
1.240000e-11,-5.077452e-06,3.963368e-05,5.699996e-06,3.756782e-05,5.308475e-06,3.479146e-05,4.289538e-06,5.662765e-05
1.260000e-11,-5.069344e-06,4.268452e-05,6.734777e-06,3.794222e-05,5.544872e-06,3.385362e-05,3.892135e-06,5.717704e-05
1.280000e-11,-5.057078e-06,4.500079e-05,7.388271e-06,3.890254e-05,5.852674e-06,3.425125e-05,4.128158e-06,5.645392e-05
1.300000e-11,-5.042321e-06,4.648215e-05,7.643120e-06,4.037499e-05,6.225874e-06,3.585406e-05,4.955225e-06,5.444002e-05
1.320000e-11,-5.026158e-06,4.709487e-05,7.509932e-06,4.226856e-05,6.660064e-06,3.845127e-05,6.291824e-06,5.120083e-05
1.340000e-11,-5.009041e-06,4.684920e-05,7.019861e-06,4.447066e-05,7.150132e-06,4.175898e-05,8.020569e-06,4.688019e-05
1.360000e-11,-4.991079e-06,4.578208e-05,6.218758e-06,4.684247e-05,7.687086e-06,4.543238e-05,9.992885e-06,4.169689e-05
1.380000e-11,-4.972442e-06,4.395232e-05,5.165148e-06,4.921590e-05,8.254690e-06,4.908417e-05,1.203621e-05,3.593826e-05
1.400000e-11,-4.953616e-06,4.144585e-05,3.930971e-06,5.139435e-05,8.826948e-06,5.230906e-05,1.396456e-05,2.994482e-05
1.420000e-11,-4.935351e-06,3.838124e-05,2.601632e-06,5.315888e-05,9.367353e-06,5.471289e-05,1.559212e-05,2.408356e-05
1.440000e-11,-4.918355e-06,3.490571e-05,1.272033e-06,5.427989e-05,9.830279e-06,5.594270e-05,1.674858e-05,1.871221e-05
1.460000e-11,-4.902953e-06,3.117770e-05,3.774468e-08,5.453208e-05,1.016407e-05,5.571433e-05,1.729384e-05,1.414038e-05
1.480000e-11,-4.888929e-06,2.734156e-05,-1.016357e-06,5.370943e-05,1.031469e-05,5.383434e-05,1.713050e-05,1.059390e-05
1.500000e-11,-4.875659e-06,2.350471e-05,-1.825919e-06,5.163674e-05,1.022882e-05,5.021560e-05,1.621289e-05,8.187635e-06
1.520000e-11,-4.862451e-06,1.972673e-05,-2.352162e-06,4.817705e-05,9.855733e-06,4.488713e-05,1.455261e-05,6.909805e-06
1.540000e-11,-4.848921e-06,1.602285e-05,-2.581794e-06,4.323800e-05,9.148769e-06,3.799946e-05,1.222065e-05,6.619901e-06
1.560000e-11,-4.835220e-06,1.237667e-05,-2.524681e-06,3.678433e-05,8.068988e-06,2.982549e-05,9.345980e-06,7.061429e-06
1.580000e-11,-4.822058e-06,8.752387e-06,-2.213592e-06,2.886500e-05,6.594133e-06,2.075376e-05,6.109445e-06,7.889403e-06
1.600000e-11,-4.810556e-06,5.100025e-06,-1.708132e-06,1.965576e-05,4.734281e-06,1.126835e-05,2.731369e-06,8.710582e-06
1.620000e-11,-4.802050e-06,1.356256e-06,-1.099296e-06,9.500936e-06,2.549446e-06,1.910174e-06,-5.483938e-07,9.132083e-06
1.640000e-11,-4.797924e-06,-2.547987e-06,-5.059457e-07,-1.079323e-06,1.577233e-07,-6.779370e-06,-3.496815e-06,8.812307e-06
1.660000e-11,-4.799467e-06,-6.664010e-06,-5.663007e-08,-1.144326e-05,-2.276534e-06,-1.432212e-05,-5.916046e-06,7.507948e-06
1.680000e-11,-4.807741e-06,-1.099128e-05,1.390486e-07,-2.093168e-05,-4.572573e-06,-2.035775e-05,-7.667362e-06,5.111697e-06
1.700000e-11,-4.823464e-06,-1.545108e-05,1.548424e-08,-2.897210e-05,-6.565801e-06,-2.467500e-05,-8.685171e-06,1.676122e-06
1.720000e-11,-4.846919e-06,-1.988324e-05,-4.396166e-07,-3.513587e-05,-8.127255e-06,-2.721478e-05,-8.978868e-06,-2.580684e-06
1.740000e-11,-4.877955e-06,-2.406530e-05,-1.192311e-06,-3.913964e-05,-9.166112e-06,-2.805066e-05,-8.623827e-06,-7.291767e-06
1.760000e-11,-4.916066e-06,-2.774005e-05,-2.176594e-06,-4.081883e-05,-9.623224e-06,-2.735680e-05,-7.744855e-06,-1.198171e-05
1.780000e-11,-4.960473e-06,-3.063685e-05,-3.305117e-06,-4.010928e-05,-9.466971e-06,-2.537289e-05,-6.495967e-06,-1.612645e-05
1.800000e-11,-5.010114e-06,-3.248205e-05,-4.471851e-06,-3.705698e-05,-8.697965e-06,-2.237205e-05,-5.039928e-06,-1.922214e-05
1.820000e-11,-5.063457e-06,-3.300561e-05,-5.549780e-06,-3.185197e-05,-7.361438e-06,-1.863423e-05,-3.530207e-06,-2.085030e-05
1.840000e-11,-5.118191e-06,-3.195778e-05,-6.391814e-06,-2.486343e-05,-5.559763e-06,-1.442585e-05,-2.096775e-06,-2.073064e-05
1.860000e-11,-5.170870e-06,-2.914884e-05,-6.843420e-06,-1.664744e-05,-3.455330e-06,-9.985829e-06,-8.361388e-07,-1.875878e-05
1.880000e-11,-5.216734e-06,-2.451439e-05,-6.770697e-06,-7.907680e-06,-1.256957e-06,-5.518198e-06,1.944344e-07,-1.503000e-05
1.900000e-11,-5.250000e-06,-1.819117e-05,-6.098569e-06,5.900812e-07,8.098213e-07,-1.191329e-06,9.782241e-07,-9.846885e-06
1.920000e-11,-5.264890e-06,-1.056960e-05,-4.844351e-06,8.126911e-06,2.540327e-06,2.856335e-06,1.534926e-06,-3.703497e-06
1.940000e-11,-5.257289e-06,-2.285059e-06,-3.129020e-06,1.412914e-05,3.783931e-06,6.505339e-06,1.910305e-06,2.762857e-06
1.960000e-11,-5.226235e-06,5.865078e-06,-1.157933e-06,1.822915e-05,4.463113e-06,9.641967e-06,2.160688e-06,8.851872e-06
1.980000e-11,-5.174291e-06,1.305012e-05,8.202958e-07,2.028053e-05,4.575689e-06,1.214731e-05,2.336021e-06,1.389695e-05
2.000000e-11,-5.106580e-06,1.852868e-05,2.557643e-06,2.033792e-05,4.184219e-06,1.389340e-05,2.466352e-06,1.735447e-05
2.020000e-11,-5.029244e-06,2.172938e-05,3.838116e-06,1.862015e-05,3.399792e-06,1.474866e-05,2.554645e-06,1.886748e-05
2.040000e-11,-4.950018e-06,2.231589e-05,4.502397e-06,1.548291e-05,2.364820e-06,1.461043e-05,2.581785e-06,1.831921e-05
2.060000e-11,-4.876139e-06,2.021382e-05,4.461707e-06,1.137282e-05,1.234119e-06,1.342808e-05,2.512564e-06,1.584067e-05
2.080000e-11,-4.814434e-06,1.562196e-05,3.710455e-06,6.764410e-06,1.522756e-07,1.121871e-05,2.305280e-06,1.178095e-05
2.100000e-11,-4.771086e-06,9.012879e-06,2.335899e-06,2.096831e-06,-7.671034e-07,8.077488e-06,1.922778e-06,6.652855e-06
2.120000e-11,-4.750998e-06,1.106671e-06,5.165429e-07,-2.273716e-06,-1.455840e-06,4.186301e-06,1.344675e-06,1.065223e-06
2.140000e-11,-4.756515e-06,-7.207379e-06,-1.500570e-06,-6.096867e-06,-1.896148e-06,-1.821252e-07,5.789166e-07,-4.351455e-06
2.160000e-11,-4.786281e-06,-1.500317e-05,-3.443873e-06,-9.226847e-06,-2.115118e-06,-4.675014e-06,-3.316043e-07,-9.020856e-06
2.180000e-11,-4.835380e-06,-2.146515e-05,-5.067952e-06,-1.160393e-05,-2.170414e-06,-8.892733e-06,-1.311231e-06,-1.248858e-05
2.200000e-11,-4.896926e-06,-2.599534e-05,-6.191059e-06,-1.322706e-05,-2.131477e-06,-1.243903e-05,-2.262404e-06,-1.446936e-05
2.220000e-11,-4.964010e-06,-2.825167e-05,-6.709654e-06,-1.412493e-05,-2.061461e-06,-1.497200e-05,-3.080697e-06,-1.486553e-05
2.240000e-11,-5.030805e-06,-2.813305e-05,-6.595097e-06,-1.433130e-05,-2.003854e-06,-1.624118e-05,-3.668838e-06,-1.375784e-05
2.260000e-11,-5.092462e-06,-2.574929e-05,-5.885087e-06,-1.386843e-05,-1.975179e-06,-1.610810e-05,-3.947607e-06,-1.137749e-05
2.280000e-11,-5.144394e-06,-2.140407e-05,-4.678574e-06,-1.274211e-05,-1.963450e-06,-1.455766e-05,-3.864949e-06,-8.068056e-06
2.300000e-11,-5.181935e-06,-1.558872e-05,-3.132644e-06,-1.095028e-05,-1.931922e-06,-1.170706e-05,-3.405048e-06,-4.241487e-06
2.320000e-11,-5.201011e-06,-8.957771e-06,-1.451712e-06,-8.504291e-06,-1.828241e-06,-7.809054e-06,-2.596081e-06,-3.295440e-07
2.340000e-11,-5.199524e-06,-2.259354e-06,1.390172e-07,-5.457449e-06,-1.598639e-06,-3.237865e-06,-1.512183e-06,3.266338e-06
2.360000e-11,-5.178378e-06,3.774917e-06,1.432510e-06,-1.931176e-06,-1.204701e-06,1.550826e-06,-2.657092e-07,6.219237e-06
