time,"I(RIN1)","I(RIN2)","I(LOUT)"
3.980000e-11,-4.975414e-06,-4.975414e-06,1.781871e-07
4.000000e-11,-4.986160e-06,-4.986160e-06,2.868561e-07
4.020000e-11,-4.998155e-06,-4.998155e-06,3.562206e-07
4.040000e-11,-5.009965e-06,-5.009965e-06,3.780457e-07
4.060000e-11,-5.020222e-06,-5.020222e-06,3.506884e-07
4.080000e-11,-5.027781e-06,-5.027781e-06,2.791764e-07
4.100000e-11,-5.031848e-06,-5.031848e-06,1.744382e-07
4.120000e-11,-5.032069e-06,-5.032069e-06,5.178122e-08
4.140000e-11,-5.028566e-06,-5.028566e-06,-7.120175e-08
4.160000e-11,-5.021909e-06,-5.021909e-06,-1.770354e-07
4.180000e-11,-5.013026e-06,-5.013026e-06,-2.507657e-07
4.200000e-11,-5.003069e-06,-5.003069e-06,-2.820402e-07
4.220000e-11,-4.993265e-06,-4.993265e-06,-2.665716e-07
4.240000e-11,-4.984758e-06,-4.984758e-06,-2.067707e-07
4.260000e-11,-4.978476e-06,-4.978476e-06,-1.114417e-07
4.280000e-11,-4.975032e-06,-4.975032e-06,5.437937e-09
4.300000e-11,-4.974661e-06,-4.974661e-06,1.267002e-07
4.320000e-11,-4.977213e-06,-4.977213e-06,2.344642e-07
4.340000e-11,-4.982201e-06,-4.982201e-06,3.127559e-07
4.360000e-11,-4.988880e-06,-4.988880e-06,3.498832e-07
4.380000e-11,-4.996364e-06,-4.996364e-06,3.402050e-07
4.400000e-11,-5.003737e-06,-5.003737e-06,2.850168e-07
4.420000e-11,-5.010161e-06,-5.010161e-06,1.924056e-07
4.440000e-11,-5.014973e-06,-5.014973e-06,7.608132e-08
4.460000e-11,-5.017743e-06,-5.017743e-06,-4.665456e-08
4.480000e-11,-5.018311e-06,-5.018311e-06,-1.575011e-07
4.500000e-11,-5.016788e-06,-5.016788e-06,-2.399202e-07
4.520000e-11,-5.013522e-06,-5.013522e-06,-2.816430e-07
4.540000e-11,-5.009035e-06,-5.009035e-06,-2.765282e-07
4.560000e-11,-5.003945e-06,-5.003945e-06,-2.254842e-07
4.580000e-11,-4.998883e-06,-4.998883e-06,-1.363093e-07
4.600000e-11,-4.994416e-06,-4.994416e-06,-2.247656e-08
4.620000e-11,-4.990986e-06,-4.990986e-06,9.894721e-08
4.640000e-11,-4.988870e-06,-4.988870e-06,2.099212e-07
4.660000e-11,-4.988164e-06,-4.988164e-06,2.941780e-07
4.680000e-11,-4.988791e-06,-4.988791e-06,3.396685e-07
4.700000e-11,-4.990532e-06,-4.990532e-06,3.403242e-07
4.720000e-11,-4.993070e-06,-4.993070e-06,2.968717e-07
4.740000e-11,-4.996035e-06,-4.996035e-06,2.165884e-07
4.760000e-11,-4.999060e-06,-4.999060e-06,1.120580e-07
4.780000e-11,-5.001817e-06,-5.001817e-06,-8.611096e-10
4.800000e-11,-5.004052e-06,-5.004052e-06,-1.055181e-07
4.820000e-11,-5.005605e-06,-5.005605e-06,-1.870049e-07
4.840000e-11,-5.006411e-06,-5.006411e-06,-2.343447e-07
4.860000e-11,-5.006500e-06,-5.006500e-06,-2.420014e-07
4.880000e-11,-5.005971e-06,-5.005971e-06,-2.104977e-07
4.900000e-11,-5.004975e-06,-5.004975e-06,-1.460783e-07
4.920000e-11,-5.003685e-06,-5.003685e-06,-5.951167e-08
4.940000e-11,-5.002272e-06,-5.002272e-06,3.574651e-08
4.960000e-11,-5.000886e-06,-5.000886e-06,1.257106e-07
4.980000e-11,-4.999639e-06,-4.999639e-06,1.979885e-07
5.000000e-11,-4.998606e-06,-4.998606e-06,2.435393e-07
5.020000e-11,-4.997821e-06,-4.997821e-06,2.578068e-07
5.040000e-11,-4.997287e-06,-4.997287e-06,2.410886e-07
5.060000e-11,-4.996985e-06,-4.996985e-06,1.981303e-07
5.080000e-11,-4.996883e-06,-4.996883e-06,1.370623e-07
5.100000e-11,-4.996947e-06,-4.996947e-06,6.789656e-08
5.120000e-11,-4.997149e-06,-4.997149e-06,8.554215e-10
5.140000e-11,-4.997472e-06,-4.997472e-06,-5.518418e-08
5.160000e-11,-4.997903e-06,-4.997903e-06,-9.388838e-08
5.180000e-11,-4.998437e-06,-4.998437e-06,-1.121417e-07
5.200000e-11,-4.999067e-06,-4.999067e-06,-1.101371e-07
5.220000e-11,-4.999782e-06,-4.999782e-06,-9.092353e-08
5.240000e-11,-5.000558e-06,-5.000558e-06,-5.954333e-08
5.260000e-11,-5.001354e-06,-5.001354e-06,-2.195161e-08
5.280000e-11,-5.002116e-06,-5.002116e-06,1.606991e-08
5.300000e-11,-5.002778e-06,-5.002778e-06,4.981122e-08
5.320000e-11,-5.003267e-06,-5.003267e-06,7.620422e-08
5.340000e-11,-5.003516e-06,-5.003516e-06,9.399937e-08
5.360000e-11,-5.003472e-06,-5.003472e-06,1.035652e-07
5.380000e-11,-5.003106e-06,-5.003106e-06,1.063993e-07
5.400000e-11,-5.002419e-06,-5.002419e-06,1.044899e-07
5.420000e-11,-5.001451e-06,-5.001451e-06,9.968405e-08
5.440000e-11,-5.000277e-06,-5.000277e-06,9.320552e-08
5.460000e-11,-4.999001e-06,-4.999001e-06,8.542279e-08
5.480000e-11,-4.997749e-06,-4.997749e-06,7.590426e-08
5.500000e-11,-4.996656e-06,-4.996656e-06,6.373254e-08
5.520000e-11,-4.995850e-06,-4.995850e-06,4.798948e-08
5.540000e-11,-4.995434e-06,-4.995434e-06,2.828548e-08
5.560000e-11,-4.995477e-06,-4.995477e-06,5.195183e-09
5.580000e-11,-4.995998e-06,-4.995998e-06,-1.951963e-08
5.600000e-11,-4.996965e-06,-4.996965e-06,-4.297447e-08
5.620000e-11,-4.998293e-06,-4.998293e-06,-6.152745e-08
5.640000e-11,-4.999853e-06,-4.999853e-06,-7.139294e-08
5.660000e-11,-5.001483e-06,-5.001483e-06,-6.939388e-08
5.680000e-11,-5.003006e-06,-5.003006e-06,-5.370636e-08
5.700000e-11,-5.004249e-06,-5.004249e-06,-2.444118e-08
5.720000e-11,-5.005065e-06,-5.005065e-06,1.607093e-08
5.740000e-11,-5.005349e-06,-5.005349e-06,6.337496e-08
5.760000e-11,-5.005054e-06,-5.005054e-06,1.113852e-07
5.780000e-11,-5.004197e-06,-5.004197e-06,1.532197e-07
5.800000e-11,-5.002857e-06,-5.002857e-06,1.822532e-07
5.820000e-11,-5.001175e-06,-5.001175e-06,1.932157e-07
5.840000e-11,-4.999332e-06,-4.999332e-06,1.831515e-07
5.860000e-11,-4.997533e-06,-4.997533e-06,1.520617e-07
5.880000e-11,-4.995981e-06,-4.995981e-06,1.031062e-07
5.900000e-11,-4.994857e-06,-4.994857e-06,4.230523e-08
5.920000e-11,-4.994294e-06,-4.994294e-06,-2.223246e-08
5.940000e-11,-4.994365e-06,-4.994365e-06,-8.145112e-08
5.960000e-11,-4.995069e-06,-4.995069e-06,-1.266875e-07
5.980000e-11,-4.996333e-06,-4.996333e-06,-1.510008e-07
6.000000e-11,-4.998018e-06,-4.998018e-06,-1.502800e-07
6.020000e-11,-4.999936e-06,-4.999936e-06,-1.239478e-07
6.040000e-11,-5.001869e-06,-5.001869e-06,-7.513961e-08
6.060000e-11,-5.003597e-06,-5.003597e-06,-1.032052e-08
6.080000e-11,-5.004921e-06,-5.004921e-06,6.161144e-08
6.100000e-11,-5.005687e-06,-5.005687e-06,1.306034e-07
6.120000e-11,-5.005807e-06,-5.005807e-06,1.869151e-07
6.140000e-11,-5.005266e-06,-5.005266e-06,2.225518e-07
6.160000e-11,-5.004126e-06,-5.004126e-06,2.324448e-07
6.180000e-11,-5.002521e-06,-5.002521e-06,2.151980e-07
