time,"I(LQ|XCOUT)","I(LQ|XSUM)"
5.560000e-11,-1.044341e-06,-2.854596e-07
5.580000e-11,-7.581514e-07,-2.081720e-07
5.600000e-11,-4.090175e-07,-1.897817e-07
5.620000e-11,-3.185056e-08,-2.299940e-07
5.640000e-11,3.371272e-07,-3.232904e-07
5.660000e-11,6.638110e-07,-4.595247e-07
5.680000e-11,9.192951e-07,-6.249074e-07
5.700000e-11,1.082339e-06,-8.033026e-07
5.720000e-11,1.141019e-06,-9.777308e-07
5.740000e-11,1.093467e-06,-1.131945e-06
5.760000e-11,9.476646e-07,-1.251939e-06
5.780000e-11,7.203671e-07,-1.327237e-06
5.800000e-11,4.352720e-07,-1.351843e-06
5.820000e-11,1.206318e-07,-1.324751e-06
5.840000e-11,-1.934653e-07,-1.249958e-06
5.860000e-11,-4.778934e-07,-1.135984e-06
5.880000e-11,-7.071147e-07,-9.949424e-07
5.900000e-11,-8.614060e-07,-8.412675e-07
5.920000e-11,-9.285030e-07,-6.902238e-07
5.940000e-11,-9.045338e-07,-5.563678e-07
5.960000e-11,-7.941767e-07,-4.521199e-07
5.980000e-11,-6.100400e-07,-3.865950e-07
6.000000e-11,-3.713304e-07,-3.648089e-07
6.020000e-11,-1.019344e-07,-3.873285e-07
6.040000e-11,1.719074e-07,-4.503865e-07
6.060000e-11,4.241152e-07,-5.464263e-07
6.080000e-11,6.312364e-07,-6.650006e-07
6.100000e-11,7.746300e-07,-7.939144e-07
6.120000e-11,8.421627e-07,-9.204816e-07
6.140000e-11,8.292570e-07,-1.032764e-06
6.160000e-11,7.391957e-07,-1.120670e-06
6.180000e-11,5.826566e-07,-1.176822e-06
6.200000e-11,3.765289e-07,-1.197114e-06
6.220000e-11,1.421321e-07,-1.180946e-06
6.240000e-11,-9.697790e-08,-1.131118e-06
6.260000e-11,-3.173902e-07,-1.053430e-06
6.280000e-11,-4.981594e-07,-9.560370e-07
6.300000e-11,-6.228282e-07,-8.486204e-07
6.320000e-11,-6.809496e-07,-7.414699e-07
6.340000e-11,-6.689613e-07,-6.445446e-07
6.360000e-11,-5.903379e-07,-5.665943e-07
6.380000e-11,-4.550246e-07,-5.144105e-07
6.400000e-11,-2.782300e-07,-4.922628e-07
6.420000e-11,-7.872068e-08,-5.015622e-07
6.440000e-11,1.231865e-07,-5.407773e-07
6.460000e-11,3.077166e-07,-6.056103e-07
6.480000e-11,4.575898e-07,-6.894176e-07
6.500000e-11,5.596385e-07,-7.838443e-07
6.520000e-11,6.059360e-07,-8.796178e-07
6.540000e-11,5.943430e-07,-9.674335e-07
6.560000e-11,5.284477e-07,-1.038851e-06
6.580000e-11,4.169370e-07,-1.087115e-06
6.600000e-11,2.724943e-07,-1.107821e-06
6.620000e-11,1.103625e-07,-1.099349e-06
6.640000e-11,-5.326349e-08,-1.063025e-06
6.660000e-11,-2.028435e-07,-1.002977e-06
6.680000e-11,-3.249387e-07,-9.257012e-07
6.700000e-11,-4.093681e-07,-8.393751e-07
6.720000e-11,-4.499818e-07,-7.529912e-07
6.740000e-11,-4.450080e-07,-6.754027e-07
6.760000e-11,-3.969698e-07,-6.143866e-07
6.780000e-11,-3.122144e-07,-5.758293e-07
6.800000e-11,-2.001246e-07,-5.631265e-07
6.820000e-11,-7.210870e-08,-5.768645e-07
6.840000e-11,5.952626e-08,-6.148181e-07
6.860000e-11,1.827110e-07,-6.722601e-07
6.880000e-11,2.866623e-07,-7.425432e-07
6.900000e-11,3.627614e-07,-8.178808e-07
6.920000e-11,4.052021e-07,-8.902327e-07
6.940000e-11,4.113696e-07,-9.521891e-07
6.960000e-11,3.819368e-07,-9.977521e-07
6.980000e-11,3.206848e-07,-1.022927e-06
7.000000e-11,2.340736e-07,-1.026064e-06
7.020000e-11,1.306071e-07,-1.007921e-06
7.040000e-11,2.004728e-08,-9.714574e-07
7.060000e-11,-8.745696e-08,-9.213922e-07
7.080000e-11,-1.822563e-07,-8.635946e-07
7.100000e-11,-2.560317e-07,-8.043863e-07
7.120000e-11,-3.025036e-07,-7.498402e-07
7.140000e-11,-3.179593e-07,-7.051557e-07
7.160000e-11,-3.015563e-07,-6.741747e-07
7.180000e-11,-2.553719e-07,-6.590832e-07
7.200000e-11,-1.841931e-07,-6.603128e-07
7.220000e-11,-9.506157e-08,-6.766384e-07
7.240000e-11,3.388887e-09,-7.054395e-07
7.260000e-11,1.017443e-07,-7.430828e-07
7.280000e-11,1.906989e-07,-7.853703e-07
7.300000e-11,2.619366e-07,-8.279999e-07
7.320000e-11,3.089204e-07,-8.669873e-07
7.340000e-11,3.275122e-07,-8.990114e-07
7.360000e-11,3.163607e-07,-9.216590e-07
7.380000e-11,2.770149e-07,-9.335560e-07
7.400000e-11,2.137525e-07,-9.343896e-07
7.420000e-11,1.331362e-07,-9.248342e-07
7.440000e-11,4.334337e-08,-9.064011e-07
7.460000e-11,-4.666397e-08,-8.812365e-07
7.480000e-11,-1.280422e-07,-8.518915e-07
7.500000e-11,-1.929501e-07,-8.210859e-07
7.520000e-11,-2.353220e-07,-7.914837e-07
7.540000e-11,-2.514503e-07,-7.654947e-07
7.560000e-11,-2.403191e-07,-7.451095e-07
7.580000e-11,-2.036574e-07,-7.317759e-07
7.600000e-11,-1.457097e-07,-7.263190e-07
7.620000e-11,-7.275322e-08,-7.289054e-07
7.640000e-11,7.583710e-09,-7.390540e-07
7.660000e-11,8.712666e-08,-7.556889e-07
7.680000e-11,1.579969e-07,-7.772342e-07
7.700000e-11,2.134011e-07,-8.017438e-07
7.720000e-11,2.482880e-07,-8.270595e-07
7.740000e-11,2.598084e-07,-8.509869e-07
7.760000e-11,2.475350e-07,-8.714768e-07
7.780000e-11,2.134296e-07,-8.867965e-07
7.800000e-11,1.615676e-07,-8.956786e-07
7.820000e-11,9.765721e-08,-8.974306e-07
7.840000e-11,2.841130e-08,-8.919964e-07
7.860000e-11,-3.916001e-08,-8.799608e-07
7.880000e-11,-9.845942e-08,-8.624966e-07
7.900000e-11,-1.439437e-07,-8.412573e-07
7.920000e-11,-1.716338e-07,-8.182240e-07
7.940000e-11,-1.794490e-07,-7.955227e-07
7.960000e-11,-1.673381e-07,-7.752270e-07
7.980000e-11,-1.372049e-07,-7.591674e-07
8.000000e-11,-9.264445e-08,-7.487632e-07
8.020000e-11,-3.852388e-08,-7.448955e-07
8.040000e-11,1.954297e-08,-7.478310e-07
8.060000e-11,7.577152e-08,-7.572043e-07
8.080000e-11,1.247745e-07,-7.720596e-07
8.100000e-11,1.620677e-07,-7.909461e-07
