time,"I(RINA)","I(RINB)","I(RINC)","I(LQ|XBS)","I(LQ|XBC)"
1.840000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.176606e-05,6.607836e-06
1.860000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,8.118533e-06,6.970511e-06
1.880000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.885846e-06,6.462639e-06
1.900000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.705427e-07,5.438257e-06
1.920000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.110066e-06,4.269045e-06
1.940000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.879134e-06,3.274148e-06
1.960000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-8.367179e-06,2.663350e-06
1.980000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-8.446876e-06,2.505031e-06
2.000000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-7.192708e-06,2.724065e-06
2.020000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-4.872503e-06,3.128624e-06
2.040000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.910067e-06,3.460514e-06
2.060000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.180378e-06,3.458958e-06
2.080000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,3.877819e-06,2.923796e-06
2.100000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.739370e-06,1.764078e-06
2.120000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,6.469801e-06,2.276778e-08
2.140000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,5.964943e-06,-2.124986e-06
2.160000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,4.324928e-06,-4.397689e-06
2.180000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,1.836928e-06,-6.452963e-06
2.200000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-1.071231e-06,-7.946139e-06
2.220000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-3.901665e-06,-8.592158e-06
2.240000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-6.170117e-06,-8.218401e-06
2.260000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-7.486654e-06,-6.797478e-06
2.280000e-11,-0.000000e+00,-0.000000e+00,-0.000000e+00,-7.617986e-06,-4.454690e-06
