time,"I(LQ|X1)","I(LQ|X2)"
3.580000e-11,9.865835e-07,1.542939e-06
3.600000e-11,7.659705e-07,1.609071e-06
3.620000e-11,7.927979e-07,1.439555e-06
3.640000e-11,1.046879e-06,1.072875e-06
3.660000e-11,1.470491e-06,5.820790e-07
3.680000e-11,1.980813e-06,6.034541e-08
3.700000e-11,2.485993e-06,-3.965556e-07
3.720000e-11,2.901755e-06,-7.076453e-07
3.740000e-11,3.165561e-06,-8.208359e-07
3.760000e-11,3.245932e-06,-7.213130e-07
3.780000e-11,3.145544e-06,-4.329088e-07
3.800000e-11,2.897956e-06,-1.250430e-08
3.820000e-11,2.559026e-06,4.612522e-07
3.840000e-11,2.195045e-06,9.026778e-07
3.860000e-11,1.870026e-06,1.234498e-06
3.880000e-11,1.634577e-06,1.401242e-06
3.900000e-11,1.518255e-06,1.378285e-06
3.920000e-11,1.526489e-06,1.175117e-06
3.940000e-11,1.642232e-06,8.324613e-07
3.960000e-11,1.831575e-06,4.140403e-07
3.980000e-11,2.051891e-06,-5.372179e-09
4.000000e-11,2.260700e-06,-3.533477e-07
4.020000e-11,2.423500e-06,-5.722682e-07
4.040000e-11,2.519168e-06,-6.287272e-07
4.060000e-11,2.542157e-06,-5.183676e-07
4.080000e-11,2.501405e-06,-2.655102e-07
4.100000e-11,2.416529e-06,8.213420e-08
4.120000e-11,2.312356e-06,4.625377e-07
4.140000e-11,2.213079e-06,8.104831e-07
4.160000e-11,2.137294e-06,1.068747e-06
4.180000e-11,2.094851e-06,1.197433e-06
4.200000e-11,2.086019e-06,1.179948e-06
4.220000e-11,2.102899e-06,1.024781e-06
4.240000e-11,2.132564e-06,7.629835e-07
4.260000e-11,2.161037e-06,4.419895e-07
4.280000e-11,2.177126e-06,1.169913e-07
4.300000e-11,2.175213e-06,-1.585562e-07
4.320000e-11,2.156409e-06,-3.416782e-07
4.340000e-11,2.127898e-06,-4.064531e-07
4.360000e-11,2.100720e-06,-3.474424e-07
4.380000e-11,2.086589e-06,-1.795824e-07
4.400000e-11,2.094575e-06,6.525071e-08
4.420000e-11,2.128423e-06,3.442531e-07
4.440000e-11,2.185187e-06,6.111612e-07
4.460000e-11,2.255485e-06,8.238779e-07
4.480000e-11,2.325336e-06,9.510132e-07
4.500000e-11,2.379171e-06,9.763460e-07
4.520000e-11,2.403335e-06,9.006118e-07
4.540000e-11,2.389326e-06,7.404922e-07
4.560000e-11,2.336026e-06,5.251339e-07
4.580000e-11,2.250424e-06,2.908990e-07
4.600000e-11,2.146639e-06,7.528018e-08
4.620000e-11,2.043390e-06,-8.901552e-08
4.640000e-11,1.960402e-06,-1.788997e-07
4.660000e-11,1.914483e-06,-1.839661e-07
4.680000e-11,1.916054e-06,-1.074191e-07
4.700000e-11,1.966861e-06,3.514428e-08
4.720000e-11,2.059352e-06,2.187797e-07
4.740000e-11,2.177867e-06,4.134918e-07
4.760000e-11,2.301434e-06,5.890557e-07
4.780000e-11,2.407653e-06,7.196058e-07
4.800000e-11,2.476894e-06,7.873176e-07
4.820000e-11,2.496033e-06,7.846846e-07
4.840000e-11,2.460970e-06,7.151349e-07
4.860000e-11,2.377468e-06,5.919905e-07
4.880000e-11,2.260143e-06,4.360151e-07
4.900000e-11,2.129806e-06,2.719878e-07
4.920000e-11,2.009658e-06,1.248522e-07
4.940000e-11,1.921060e-06,1.602090e-08
4.960000e-11,1.879653e-06,-3.963643e-08
4.980000e-11,1.892561e-06,-3.571904e-08
5.000000e-11,1.957162e-06,2.509294e-08
5.020000e-11,2.061657e-06,1.317729e-07
5.040000e-11,2.187286e-06,2.668676e-07
5.060000e-11,2.311776e-06,4.092811e-07
5.080000e-11,2.413362e-06,5.374940e-07
5.100000e-11,2.474651e-06,6.327408e-07
5.120000e-11,2.485628e-06,6.816913e-07
5.140000e-11,2.445282e-06,6.782645e-07
5.160000e-11,2.361595e-06,6.243361e-07
5.180000e-11,2.249927e-06,5.292651e-07
5.200000e-11,2.130149e-06,4.083331e-07
5.220000e-11,2.023040e-06,2.803463e-07
5.240000e-11,1.946646e-06,1.647648e-07
5.260000e-11,1.913216e-06,7.878681e-08
5.280000e-11,1.927258e-06,3.481770e-08
5.300000e-11,1.985011e-06,3.869284e-08
5.320000e-11,2.075372e-06,8.890814e-08
5.340000e-11,2.182061e-06,1.769626e-07
5.360000e-11,2.286602e-06,2.887494e-07
5.380000e-11,2.371559e-06,4.067778e-07
5.400000e-11,2.423455e-06,5.128805e-07
5.420000e-11,2.434891e-06,5.909951e-07
5.440000e-11,2.405532e-06,6.295932e-07
5.460000e-11,2.341848e-06,6.233885e-07
5.480000e-11,2.255713e-06,5.740699e-07
5.500000e-11,2.162166e-06,4.899499e-07
5.520000e-11,2.076755e-06,3.845954e-07
5.540000e-11,2.012939e-06,2.746584e-07
5.560000e-11,1.979979e-06,1.772514e-07
5.580000e-11,1.981653e-06,1.072806e-07
5.600000e-11,2.015955e-06,7.515517e-08
5.620000e-11,2.075756e-06,8.522578e-08
5.640000e-11,2.150277e-06,1.351931e-07
5.660000e-11,2.227044e-06,2.165669e-07
5.680000e-11,2.293993e-06,3.160921e-07
5.700000e-11,2.341355e-06,4.179044e-07
5.720000e-11,2.363034e-06,5.060652e-07
5.740000e-11,2.357296e-06,5.670683e-07
5.760000e-11,2.326713e-06,5.919213e-07
5.780000e-11,2.277440e-06,5.774783e-07
5.800000e-11,2.217995e-06,5.268230e-07
5.820000e-11,2.157784e-06,4.486586e-07
5.840000e-11,2.105615e-06,3.558196e-07
5.860000e-11,2.068456e-06,2.631589e-07
5.880000e-11,2.050570e-06,1.851602e-07
5.900000e-11,2.053143e-06,1.336615e-07
5.920000e-11,2.074400e-06,1.160505e-07
5.940000e-11,2.110126e-06,1.342092e-07
5.960000e-11,2.154476e-06,1.843585e-07
5.980000e-11,2.200924e-06,2.578037e-07
6.000000e-11,2.243191e-06,3.424395e-07
6.020000e-11,2.276040e-06,4.247533e-07
6.040000e-11,2.295835e-06,4.919943e-07
6.060000e-11,2.300846e-06,5.341562e-07
6.080000e-11,2.291278e-06,5.454657e-07
6.100000e-11,2.269086e-06,5.251533e-07
6.120000e-11,2.237603e-06,4.774085e-07
6.140000e-11,2.201070e-06,4.105547e-07
6.160000e-11,2.164110e-06,3.356000e-07
6.180000e-11,2.131207e-06,2.644181e-07
6.200000e-11,2.106237e-06,2.078607e-07
6.220000e-11,2.092073e-06,1.741020e-07
6.240000e-11,2.090292e-06,1.674693e-07
6.260000e-11,2.101019e-06,1.879234e-07
6.280000e-11,2.122898e-06,2.312445e-07
6.300000e-11,2.153229e-06,2.898633e-07
6.320000e-11,2.188243e-06,3.541788e-07
6.340000e-11,2.223520e-06,4.141336e-07
6.360000e-11,2.254504e-06,4.607868e-07
6.380000e-11,2.277071e-06,4.876404e-07
6.400000e-11,2.288078e-06,4.915220e-07
6.420000e-11,2.285822e-06,4.729102e-07
6.440000e-11,2.270332e-06,4.356797e-07
6.460000e-11,2.243450e-06,3.863365e-07
6.480000e-11,2.208650e-06,3.328898e-07
6.500000e-11,2.170622e-06,2.835547e-07
6.520000e-11,2.134650e-06,2.454954e-07
6.540000e-11,2.105876e-06,2.237995e-07
6.560000e-11,2.088540e-06,2.208280e-07
6.580000e-11,2.085330e-06,2.360166e-07
6.600000e-11,2.096934e-06,2.661313e-07
6.620000e-11,2.121882e-06,3.059112e-07
6.640000e-11,2.156707e-06,3.489741e-07
6.660000e-11,2.196422e-06,3.888339e-07
6.680000e-11,2.235243e-06,4.198653e-07
6.700000e-11,2.267446e-06,4.380782e-07
6.720000e-11,2.288239e-06,4.415969e-07
6.740000e-11,2.294501e-06,4.307952e-07
6.760000e-11,2.285272e-06,4.080917e-07
6.780000e-11,2.261916e-06,3.774608e-07
6.800000e-11,2.227923e-06,3.437533e-07
6.820000e-11,2.188382e-06,3.119390e-07
6.840000e-11,2.149202e-06,2.863892e-07
6.860000e-11,2.116213e-06,2.702980e-07
6.880000e-11,2.094269e-06,2.653155e-07
6.900000e-11,2.086523e-06,2.714279e-07
6.920000e-11,2.093954e-06,2.870800e-07
6.940000e-11,2.115244e-06,3.095045e-07
6.960000e-11,2.147016e-06,3.351925e-07
6.980000e-11,2.184370e-06,3.604297e-07
7.000000e-11,2.221662e-06,3.818173e-07
7.020000e-11,2.253370e-06,3.967087e-07
7.040000e-11,2.274928e-06,4.035102e-07
7.060000e-11,2.283394e-06,4.018162e-07
7.080000e-11,2.277852e-06,3.923769e-07
7.100000e-11,2.259492e-06,3.769163e-07
7.120000e-11,2.231375e-06,3.578369e-07
7.140000e-11,2.197909e-06,3.378603e-07
7.160000e-11,2.164154e-06,3.196537e-07
7.180000e-11,2.135041e-06,3.054906e-07
7.200000e-11,2.114649e-06,2.969870e-07
7.220000e-11,2.105628e-06,2.949376e-07
7.240000e-11,2.108868e-06,2.992667e-07
7.260000e-11,2.123442e-06,3.090892e-07
7.280000e-11,2.146814e-06,3.228683e-07
7.300000e-11,2.175284e-06,3.386437e-07
7.320000e-11,2.204579e-06,3.542982e-07
7.340000e-11,2.230496e-06,3.678301e-07
7.360000e-11,2.249507e-06,3.775968e-07
7.380000e-11,2.259230e-06,3.825034e-07
7.400000e-11,2.258711e-06,3.821161e-07
7.420000e-11,2.248486e-06,3.766895e-07
7.440000e-11,2.230426e-06,3.671092e-07
7.460000e-11,2.207402e-06,3.547573e-07
7.480000e-11,2.182829e-06,3.413219e-07
7.500000e-11,2.160164e-06,3.285740e-07
7.520000e-11,2.142421e-06,3.181398e-07
7.540000e-11,2.131788e-06,3.112986e-07
7.560000e-11,2.129374e-06,3.088280e-07
7.580000e-11,2.135117e-06,3.109183e-07
7.600000e-11,2.147861e-06,3.171627e-07
7.620000e-11,2.165573e-06,3.266251e-07
7.640000e-11,2.185659e-06,3.379751e-07
7.660000e-11,2.205343e-06,3.496706e-07
7.680000e-11,2.222034e-06,3.601649e-07
7.700000e-11,2.233659e-06,3.681095e-07
7.720000e-11,2.238904e-06,3.725269e-07
7.740000e-11,2.237343e-06,3.729301e-07
7.760000e-11,2.229454e-06,3.693754e-07
7.780000e-11,2.216509e-06,3.624413e-07
7.800000e-11,2.200384e-06,3.531386e-07
7.820000e-11,2.183293e-06,3.427654e-07
7.840000e-11,2.167492e-06,3.327270e-07
7.860000e-11,2.154995e-06,3.243463e-07
7.880000e-11,2.147327e-06,3.186899e-07
7.900000e-11,2.145345e-06,3.164331e-07
7.920000e-11,2.149151e-06,3.177810e-07
7.940000e-11,2.158097e-06,3.224541e-07
7.960000e-11,2.170886e-06,3.297394e-07
7.980000e-11,2.185751e-06,3.385973e-07
8.000000e-11,2.200693e-06,3.478093e-07
8.020000e-11,2.213737e-06,3.561444e-07
8.040000e-11,2.223197e-06,3.625227e-07
8.060000e-11,2.227882e-06,3.661537e-07
8.080000e-11,2.227254e-06,3.666323e-07
8.100000e-11,2.221488e-06,3.639809e-07
8.120000e-11,2.211443e-06,3.586343e-07
8.140000e-11,2.198540e-06,3.513703e-07
8.160000e-11,2.184568e-06,3.431985e-07
8.180000e-11,2.171439e-06,3.352207e-07
8.200000e-11,2.160927e-06,3.284849e-07
8.220000e-11,2.154428e-06,3.238490e-07
8.240000e-11,2.152770e-06,3.218738e-07
8.260000e-11,2.156105e-06,3.227575e-07
8.280000e-11,2.163892e-06,3.263179e-07
8.300000e-11,2.174981e-06,3.320257e-07
8.320000e-11,2.187781e-06,3.390809e-07
8.340000e-11,2.200481e-06,3.465228e-07
8.360000e-11,2.211315e-06,3.533593e-07
8.380000e-11,2.218807e-06,3.586965e-07
8.400000e-11,2.221972e-06,3.618545e-07
8.420000e-11,2.220456e-06,3.624527e-07
8.440000e-11,2.214568e-06,3.604556e-07
8.460000e-11,2.205233e-06,3.561718e-07
8.480000e-11,2.193839e-06,3.502093e-07
8.500000e-11,2.182041e-06,3.433913e-07
8.520000e-11,2.171511e-06,3.366444e-07
8.540000e-11,2.163700e-06,3.308743e-07
8.560000e-11,2.159641e-06,3.268451e-07
8.580000e-11,2.159802e-06,3.250781e-07
8.600000e-11,2.164044e-06,3.257838e-07
8.620000e-11,2.171646e-06,3.288359e-07
8.640000e-11,2.181437e-06,3.337904e-07
8.660000e-11,2.191965e-06,3.399487e-07
8.680000e-11,2.201722e-06,3.464539e-07
8.700000e-11,2.209359e-06,3.524095e-07
8.720000e-11,2.213870e-06,3.570026e-07
8.740000e-11,2.214730e-06,3.596155e-07
8.760000e-11,2.211948e-06,3.599101e-07
8.780000e-11,2.206048e-06,3.578731e-07
8.800000e-11,2.197975e-06,3.538156e-07
8.820000e-11,2.188944e-06,3.483277e-07
8.840000e-11,2.180255e-06,3.421937e-07
8.860000e-11,2.173109e-06,3.362803e-07
8.880000e-11,2.168441e-06,3.314141e-07
8.900000e-11,2.166798e-06,3.282645e-07
8.920000e-11,2.168282e-06,3.272509e-07
8.940000e-11,2.172553e-06,3.284850e-07
8.960000e-11,2.178900e-06,3.317582e-07
8.980000e-11,2.186355e-06,3.365749e-07
9.000000e-11,2.193840e-06,3.422268e-07
9.020000e-11,2.200325e-06,3.478969e-07
9.040000e-11,2.204964e-06,3.527782e-07
9.060000e-11,2.207206e-06,3.561898e-07
